depth,shadow_length,model_id,reference_datetime
3,5,ler,2021-04-05 00:00:00
4,5,ler,2021-04-05 00:00:00
5,5,ler,2021-04-05 00:00:00
6,6,ler,2021-04-05 00:00:00
7,6,ler,2021-04-05 00:00:00
8,4,ler,2021-04-05 00:00:00
9,3,ler,2021-04-05 00:00:00
0,4,GLM,2021-04-12 00:00:00
1,2,GLM,2021-04-12 00:00:00
1.5,3,GLM,2021-04-12 00:00:00
2,4,GLM,2021-04-12 00:00:00
3,4,GLM,2021-04-12 00:00:00
4,7,GLM,2021-04-12 00:00:00
5,4,GLM,2021-04-12 00:00:00
6,6,GLM,2021-04-12 00:00:00
7,5,GLM,2021-04-12 00:00:00
8,4,GLM,2021-04-12 00:00:00
9,6,GLM,2021-04-12 00:00:00
0,2,GOTM,2021-04-12 00:00:00
1,2,GOTM,2021-04-12 00:00:00
1.5,3,GOTM,2021-04-12 00:00:00
2,4,GOTM,2021-04-12 00:00:00
3,3,GOTM,2021-04-12 00:00:00
4,3,GOTM,2021-04-12 00:00:00
5,4,GOTM,2021-04-12 00:00:00
6,5,GOTM,2021-04-12 00:00:00
7,5,GOTM,2021-04-12 00:00:00
8,4,GOTM,2021-04-12 00:00:00
9,4,GOTM,2021-04-12 00:00:00
0,5,RW,2021-04-12 00:00:00
1,3,RW,2021-04-12 00:00:00
1.5,1,RW,2021-04-12 00:00:00
2,1,RW,2021-04-12 00:00:00
3,3,RW,2021-04-12 00:00:00
4,12,RW,2021-04-12 00:00:00
5,14,RW,2021-04-12 00:00:00
6,14,RW,2021-04-12 00:00:00
7,14,RW,2021-04-12 00:00:00
8,14,RW,2021-04-12 00:00:00
9,14,RW,2021-04-12 00:00:00
0,2,Simstrat,2021-04-12 00:00:00
1,2,Simstrat,2021-04-12 00:00:00
1.5,2,Simstrat,2021-04-12 00:00:00
2,0,Simstrat,2021-04-12 00:00:00
3,2,Simstrat,2021-04-12 00:00:00
4,6,Simstrat,2021-04-12 00:00:00
5,3,Simstrat,2021-04-12 00:00:00
6,3,Simstrat,2021-04-12 00:00:00
7,3,Simstrat,2021-04-12 00:00:00
8,3,Simstrat,2021-04-12 00:00:00
9,2,Simstrat,2021-04-12 00:00:00
0,1,climatology,2021-04-12 00:00:00
1,2,climatology,2021-04-12 00:00:00
1.5,2,climatology,2021-04-12 00:00:00
2,3,climatology,2021-04-12 00:00:00
3,2,climatology,2021-04-12 00:00:00
4,4,climatology,2021-04-12 00:00:00
5,4,climatology,2021-04-12 00:00:00
6,5,climatology,2021-04-12 00:00:00
7,5,climatology,2021-04-12 00:00:00
8,4,climatology,2021-04-12 00:00:00
9,5,climatology,2021-04-12 00:00:00
